fecha;serie_hidrologica;region_hidrologica;aporte_hidrico
2023-01-07;TRONGUAD;Antioquia;4345200
2023-01-07;DESVGUAR;Caldas;170900
2023-01-07;DESVMANS;Caldas;188800
2023-01-07;PTEHMIEL;Caldas;5054700
2023-01-07;URR1SINU;Caribe;2076700
2023-01-07;ALICBOGO;Centro;13036000
2023-01-07;AMOYAMOY;Centro;1352200
2023-01-07;BETAMAG1;Centro;4421600
2023-01-07;CUCUCUCU;Centro;1027700
2023-01-07;DESVSMAR;Centro;215500
2023-01-07;EMBAPRAD;Centro;3215200
2023-01-07;QUIMMAGD;Centro;10554800
2023-01-07;SOGASOGA;Centro;11081400
2023-01-07;DESVBATA;Oriente;30400
2023-01-07;DESVCHIV;Oriente;572500
2023-01-07;EMBACHUZ;Oriente;771700
2023-01-07;EMBAGUAV;Oriente;4692400
2023-01-07;ESMEBATA;Oriente;4318000
2023-01-07;ALTOANCH;Valle;10269900
2023-01-07;BAJOANCH;Valle;863100
2023-01-07;CAL1CALM;Valle;939000
2023-01-07;FLR2CAUC;Valle;261400
2023-01-07;SALVCAUC;Valle;13117500
2023-01-08;BOCATENC;Antioquia;1245100
2023-01-08;CLLRPORC;Antioquia;10493700
2023-01-08;DESVIEPM;Antioquia;2616900
2023-01-08;ITUACAUC;Antioquia;47243800
2023-01-08;MIRFTENC;Antioquia;740800
2023-01-08;PENONARE;Antioquia;18186600
2023-01-08;PLAYGUAT;Antioquia;3428300
2023-01-08;PP-2POR1;Antioquia;8642700
2023-01-08;PP-3PORC;Antioquia;2918800
2023-01-08;PUNCGUAT;Antioquia;4601900
2023-01-08;QUBRRGRD;Antioquia;124400
2023-01-08;RGR2RGRD;Antioquia;16599900
2023-01-08;SLORNARE;Antioquia;11824100
2023-01-08;SMIGCALD;Antioquia;1210700
2023-01-08;TRONGUAD;Antioquia;4326900
2023-01-08;DESVGUAR;Caldas;395100
2023-01-08;DESVMANS;Caldas;56200
2023-01-08;PTEHMIEL;Caldas;4404300
2023-01-08;URR1SINU;Caribe;3112900
2023-01-08;ALICBOGO;Centro;18811800
2023-01-08;AMOYAMOY;Centro;1548000
2023-01-08;BETAMAG1;Centro;2829700
2023-01-08;CUCUCUCU;Centro;1124800
2023-01-08;DESVSMAR;Centro;199800
2023-01-08;EMBAPRAD;Centro;1408000
2023-01-08;QUIMMAGD;Centro;7665100
2023-01-08;SOGASOGA;Centro;13885700
2023-01-08;DESVBATA;Oriente;235500
2023-01-08;DESVCHIV;Oriente;689700
2023-01-08;EMBACHUZ;Oriente;972500
2023-01-08;EMBAGUAV;Oriente;8164400
2023-01-08;ESMEBATA;Oriente;4634400
2023-01-08;ALTOANCH;Valle;7988700
2023-01-08;BAJOANCH;Valle;685300
2023-01-08;CAL1CALM;Valle;1187400
2023-01-08;FLR2CAUC;Valle;217600
2023-01-08;SALVCAUC;Valle;11855600
2023-01-09;BOCATENC;Antioquia;1227600
2023-01-09;CLLRPORC;Antioquia;4677000
2023-01-09;DESVIEPM;Antioquia;2474100
2023-01-09;ITUACAUC;Antioquia;45409500
2023-01-09;MIRFTENC;Antioquia;516100
2023-01-09;PENONARE;Antioquia;17335900
2023-01-09;PLAYGUAT;Antioquia;7905600
2023-01-09;PP-2POR1;Antioquia;3646700
2023-01-09;PP-3PORC;Antioquia;552600
2023-01-09;PUNCGUAT;Antioquia;4343100
2023-01-09;QUBRRGRD;Antioquia;104900
2023-01-09;RGR2RGRD;Antioquia;14009700
2023-01-09;SLORNARE;Antioquia;5281900
2023-01-09;SMIGCALD;Antioquia;1276200
2023-01-09;TRONGUAD;Antioquia;3372400
2023-01-09;DESVGUAR;Caldas;268100
2023-01-09;DESVMANS;Caldas;34900
2023-01-09;PTEHMIEL;Caldas;4315600
2023-01-09;URR1SINU;Caribe;2674900
2023-01-09;ALICBOGO;Centro;11925700
2023-01-09;AMOYAMOY;Centro;1768400
2023-01-09;BETAMAG1;Centro;2521500
2023-01-09;CUCUCUCU;Centro;1216200
2023-01-09;DESVSMAR;Centro;167000
2023-01-09;EMBAPRAD;Centro;1437700
2023-01-09;QUIMMAGD;Centro;7422800
2023-01-09;SOGASOGA;Centro;11046100
2023-01-09;DESVBATA;Oriente;44300
2023-01-09;DESVCHIV;Oriente;643500
2023-01-09;EMBACHUZ;Oriente;779600
2023-01-09;EMBAGUAV;Oriente;5285400
2023-01-09;ESMEBATA;Oriente;4396300
2023-01-09;ALTOANCH;Valle;9535900
2023-01-09;BAJOANCH;Valle;805900
2023-01-09;CAL1CALM;Valle;1129500
2023-01-09;FLR2CAUC;Valle;271800
2023-01-09;SALVCAUC;Valle;12327700
2023-01-10;BOCATENC;Antioquia;2139800
2023-01-10;CLLRPORC;Antioquia;10162800
2023-01-10;DESVIEPM;Antioquia;2716500
2023-01-10;ITUACAUC;Antioquia;58437600
2023-01-10;MIRFTENC;Antioquia;1031100
2023-01-10;PENONARE;Antioquia;24235600
2023-01-10;PLAYGUAT;Antioquia;10238900
2023-01-10;PP-2POR1;Antioquia;3256100
2023-01-10;PP-3PORC;Antioquia;2731000
2023-01-10;PUNCGUAT;Antioquia;10752300
2023-01-10;QUBRRGRD;Antioquia;126900
2023-01-10;RGR2RGRD;Antioquia;16934400
2023-01-10;SLORNARE;Antioquia;7396000
2023-01-10;SMIGCALD;Antioquia;2938100
2023-01-10;TRONGUAD;Antioquia;3986200
2023-01-10;DESVGUAR;Caldas;925100
2023-01-10;DESVMANS;Caldas;144000
2023-01-10;PTEHMIEL;Caldas;5013700
2023-01-10;URR1SINU;Caribe;2816700
2023-01-10;ALICBOGO;Centro;12705300
2023-01-10;AMOYAMOY;Centro;1571600
2023-01-10;BETAMAG1;Centro;1957100
2023-01-10;CUCUCUCU;Centro;1279000
2023-01-10;DESVSMAR;Centro;314000
2023-01-10;EMBAPRAD;Centro;2569000
2023-01-10;QUIMMAGD;Centro;5341600
2023-01-10;SOGASOGA;Centro;21954400
2023-01-10;DESVBATA;Oriente;105600
2023-01-10;DESVCHIV;Oriente;466700
2023-01-10;EMBACHUZ;Oriente;1181200
2023-01-10;EMBAGUAV;Oriente;6519400
2023-01-10;ESMEBATA;Oriente;6849200
2023-01-10;ALTOANCH;Valle;7594600
2023-01-10;BAJOANCH;Valle;654600
2023-01-10;CAL1CALM;Valle;1407000
2023-01-10;FLR2CAUC;Valle;243000
2023-01-10;SALVCAUC;Valle;17003100
2023-01-11;BOCATENC;Antioquia;1684800
2023-01-11;CLLRPORC;Antioquia;8836500
2023-01-11;DESVIEPM;Antioquia;2589800
2023-01-11;ITUACAUC;Antioquia;58110100
2023-01-11;MIRFTENC;Antioquia;1035000
2023-01-11;PENONARE;Antioquia;15911000
2023-01-11;PLAYGUAT;Antioquia;6802300
2023-01-11;PP-2POR1;Antioquia;3179900
2023-01-11;PP-3PORC;Antioquia;3013100
2023-01-11;PUNCGUAT;Antioquia;6570100
2023-01-11;QUBRRGRD;Antioquia;123700
2023-01-11;RGR2RGRD;Antioquia;16500600
2023-01-11;SLORNARE;Antioquia;8050000
2023-01-11;SMIGCALD;Antioquia;1555800
2023-01-11;TRONGUAD;Antioquia;4311400
2023-01-11;DESVGUAR;Caldas;1660500
2023-01-11;DESVMANS;Caldas;189300
2023-01-11;PTEHMIEL;Caldas;4022500
2023-01-11;URR1SINU;Caribe;2775100
2023-01-11;ALICBOGO;Centro;27544500
2023-01-11;AMOYAMOY;Centro;2191300
2023-01-11;BETAMAG1;Centro;2592900
2023-01-11;CUCUCUCU;Centro;1577300
2023-01-11;DESVSMAR;Centro;401100
2023-01-11;EMBAPRAD;Centro;1913200
2023-01-11;QUIMMAGD;Centro;10579900
2023-01-11;SOGASOGA;Centro;24685900
2023-01-11;DESVBATA;Oriente;1112600
2023-01-11;DESVCHIV;Oriente;1307300
2023-01-11;EMBACHUZ;Oriente;4141900
2023-01-11;EMBAGUAV;Oriente;13558000
2023-01-11;ESMEBATA;Oriente;9277200
2023-01-11;ALTOANCH;Valle;6843600
2023-01-11;BAJOANCH;Valle;596000
2023-01-11;CAL1CALM;Valle;1153300
2023-01-11;FLR2CAUC;Valle;318600
2023-01-11;SALVCAUC;Valle;19904700
2023-01-12;BOCATENC;Antioquia;1338900
2023-01-12;CLLRPORC;Antioquia;8495100
2023-01-12;DESVIEPM;Antioquia;2685800
2023-01-12;ITUACAUC;Antioquia;63824600
2023-01-12;MIRFTENC;Antioquia;839900
2023-01-12;PENONARE;Antioquia;15211500
2023-01-12;PLAYGUAT;Antioquia;6583200
2023-01-12;PP-2POR1;Antioquia;3005200
2023-01-12;PP-3PORC;Antioquia;2150200
2023-01-12;PUNCGUAT;Antioquia;5536400
2023-01-12;QUBRRGRD;Antioquia;110900
2023-01-12;RGR2RGRD;Antioquia;14802700
2023-01-12;SLORNARE;Antioquia;7191600
2023-01-12;SMIGCALD;Antioquia;2442100
2023-01-12;TRONGUAD;Antioquia;3730500
2023-01-12;DESVGUAR;Caldas;293600
2023-01-12;DESVMANS;Caldas;180800
2023-01-12;PTEHMIEL;Caldas;8154900
2023-01-12;URR1SINU;Caribe;3128200
2023-01-12;ALICBOGO;Centro;23119100
2023-01-12;AMOYAMOY;Centro;2098200
2023-01-12;BETAMAG1;Centro;4591100
2023-01-12;CUCUCUCU;Centro;2338100
2023-01-12;DESVSMAR;Centro;418200
2023-01-12;EMBAPRAD;Centro;1973400
2023-01-12;QUIMMAGD;Centro;8204400
2023-01-12;SOGASOGA;Centro;19367600
2023-01-12;DESVBATA;Oriente;5150600
2023-01-12;DESVCHIV;Oriente;2402200
2023-01-12;EMBACHUZ;Oriente;15866800
2023-01-12;EMBAGUAV;Oriente;45152100
2023-01-12;ESMEBATA;Oriente;8298000
2023-01-12;ALTOANCH;Valle;5594200
2023-01-12;BAJOANCH;Valle;498600
2023-01-12;CAL1CALM;Valle;1231500
2023-01-12;FLR2CAUC;Valle;214000
2023-01-12;SALVCAUC;Valle;15992700
2023-01-13;BOCATENC;Antioquia;1252000
2023-01-13;CLLRPORC;Antioquia;7537500
2023-01-13;DESVIEPM;Antioquia;2705700
2023-01-13;ITUACAUC;Antioquia;69985000
2023-01-13;MIRFTENC;Antioquia;1101200
2023-01-13;PENONARE;Antioquia;14196200
2023-01-13;PLAYGUAT;Antioquia;6322400
2023-01-13;PP-2POR1;Antioquia;5258400
2023-01-13;PP-3PORC;Antioquia;1697300
2023-01-13;PUNCGUAT;Antioquia;7484000
2023-01-13;QUBRRGRD;Antioquia;86700
2023-01-13;RGR2RGRD;Antioquia;11567100
2023-01-13;SLORNARE;Antioquia;8858400
2023-01-13;SMIGCALD;Antioquia;1569000
2023-01-13;TRONGUAD;Antioquia;4552400
